"","order","family_w_n","family","scientific_name","common_jp_name","coastal_fish","avr_identity","avr_lod","water_area","habitat","depth_s","depth_d","n_reads","freq"
"Taxa0824","Tetraodontiformes","505_Balistidae","Balistidae","Xanthichthys ringens","ホシモンガラと同じ属の種","C","100","LOW","S","reef-associated",25,80,"15",1
"Taxa0825","Tetraodontiformes","506_Monacanthidae","Monacanthidae","Aluterus scriptus","ソウシハギ","C","100","LOW","S","reef-associated",3,120,"16",1
"Taxa0826","Tetraodontiformes","506_Monacanthidae","Monacanthidae","Brachaluteres ulvarum","アオオサハギ","C","100","HIGH","S","reef-associated",25,30,"249",4
"Taxa0827","Tetraodontiformes","506_Monacanthidae","Monacanthidae","Cantherhines pullus","センウマヅラハギ属の一種","C","100","LOW","S","reef-associated",3,50,"48",1
"Taxa0828","Tetraodontiformes","506_Monacanthidae","Monacanthidae","Paraluteres prionurus","ノコギリハギ","C","100","HIGH","S","reef-associated",1,25,"114",1
"Taxa0829","Tetraodontiformes","506_Monacanthidae","Monacanthidae","Paramonacanthus choirocephalus","ヨソギ属の一種","C","100","LOW","S","demersal",3,25,"124",2
"Taxa0830","Tetraodontiformes","506_Monacanthidae","Monacanthidae","Paramonacanthus pusillus","ツラナガハギ","C","100","HIGH","S","demersal",28,79,"599",3
"Taxa0831","Tetraodontiformes","506_Monacanthidae","Monacanthidae","Rudarius ercodes","アミメハギ","C","100","HIGH","S","reef-associated",NA,NA,"2274",31
"Taxa0832","Tetraodontiformes","506_Monacanthidae","Monacanthidae","Stephanolepis cirrhifer","カワハギ","C","99.98","MODERATE","S","demersal",NA,NA,"8233",108
"Taxa0833","Tetraodontiformes","506_Monacanthidae","Monacanthidae","Thamnaconus modestus","ウマヅラハギ","C","100","HIGH","S","reef-associated",NA,NA,"1475",21
"Taxa0834","Tetraodontiformes","506_Monacanthidae","Monacanthidae","Thamnaconus tessellatus","ゴイシウマヅラハギ","D","98.8","LOW","S","bathydemersal",230,600,"27",1
"Taxa0835","Tetraodontiformes","507_Ostraciidae","Ostraciidae","Lactoria cornuta","コンゴウフグ","C","100","HIGH","BS","reef-associated",1,100,"97",1
"Taxa0836","Tetraodontiformes","507_Ostraciidae","Ostraciidae","Lactoria diaphana","ウミスズメ","C","100","HIGH","BS","reef-associated",8,50,"1000",4
"Taxa0837","Tetraodontiformes","507_Ostraciidae","Ostraciidae","Ostracion cubicus","ミナミハコフグ","C","99.99","LOW","S","reef-associated",1,280,"27,258",187
"Taxa0838","Tetraodontiformes","507_Ostraciidae","Ostraciidae","U98.5_Tetrosomus concatenatus gotu1","ハマフグと近縁な種","C","94.5","LOW","S","reef-associated",NA,60,"5427",6
"Taxa0839","Tetraodontiformes","509_Tetraodontidae","Tetraodontidae","Arothron hispidus","サザナミフグ","C","99.85","HIGH","BS","reef-associated",1,50,"314",4
"Taxa0840","Tetraodontiformes","509_Tetraodontidae","Tetraodontidae","Canthigaster janthinoptera","シボリキンチャクフグ","C","100","LOW","S","reef-associated",1,30,"111",2
"Taxa0841","Tetraodontiformes","509_Tetraodontidae","Tetraodontidae","Canthigaster rivulata","キタマクラ","C","99.98","MODERATE","S","reef-associated",0,350,"23474",221
"Taxa0842","Tetraodontiformes","509_Tetraodontidae","Tetraodontidae","Canthigaster rostrata","シャープノーズ・パッファー","C","100","MODERATE","S","reef-associated",1,40,"155",3
"Taxa0843","Tetraodontiformes","509_Tetraodontidae","Tetraodontidae","Dichotomyctere nigroviridis","ミドリフグ","Ex","100","MODERATE","FB","demersal",NA,NA,"87",1
"Taxa0844","Tetraodontiformes","509_Tetraodontidae","Tetraodontidae","Lagocephalus gloveri","クロサバフグ","C","100","HIGH","S","demersal",NA,NA,"132",2
"Taxa0845","Tetraodontiformes","509_Tetraodontidae","Tetraodontidae","Lagocephalus lagocephalus","クマサカフグ","C","100","HIGH","S","benthopelagic",10,476,"20",1
"Taxa0846","Tetraodontiformes","509_Tetraodontidae","Tetraodontidae","Lagocephalus sceleratus","センニンフグ","C","100","HIGH","S","reef-associated",18,100,"765",1
"Taxa0847","Tetraodontiformes","509_Tetraodontidae","Tetraodontidae","Lagocephalus spadiceus","シロサバフグ","C","100","LOW","BS","demersal",NA,NA,"4469",22
"Taxa0848","Tetraodontiformes","509_Tetraodontidae","Tetraodontidae","Takifugu fasciatus","コモンダマシと同じ属の種","C","99.99","LOW",NA,NA,NA,NA,"61,716",87
"Taxa0849","Tetraodontiformes","509_Tetraodontidae","Tetraodontidae","Takifugu niphobles","クサフグ","C","99.66","LOW","S","demersal",NA,NA,"969,734",525
"Taxa0850","Tetraodontiformes","509_Tetraodontidae","Tetraodontidae","Takifugu orbimaculatus","コモンダマシと同じ属の種","C","99.4","LOW","F","demersal",NA,NA,"97",1
"Taxa0851","Tetraodontiformes","509_Tetraodontidae","Tetraodontidae","Takifugu rubripes","トラフグ","C","100","LOW","FBS","demersal",NA,NA,"467",5
"Taxa0852","Tetraodontiformes","509_Tetraodontidae","Tetraodontidae","Takifugu stictonotus","ゴマフグ","C","100","LOW","S","demersal",NA,NA,"62218",96
"Taxa0853","Tetraodontiformes","510_Diodontidae","Diodontidae","Chilomycterus reticulatus","イシガキフグ","C","100","LOW","S","reef-associated",20,100,"154",4
"Taxa0854","Tetraodontiformes","510_Diodontidae","Diodontidae","Diodon holocanthus","ハリセンボン","C","100","LOW","S","reef-associated",2,200,"930",3
"Taxa0855","Tetraodontiformes","511_Molidae","Molidae","Mola mola","マンボウ","C","100","MODERATE","S","pelagic-oceanic",30,480,"76",2
"Taxa0856","Lophiiformes","228_Antennariidae","Antennariidae","Antennatus nummifer","ムチカエルアンコウ","C","100","HIGH","S","reef-associated",0,293,"826",1
